title,domain,classification_basis
5G核心网安全架构及关键技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
5G行业专网技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
6G传输技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
6G数字孪生网络安全技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
6G无源物联网定位技术白皮书,Energy and sustainable infrastructure,Primary technical subject identified from the title and verified against the corpus entry.
6G网络内生AI技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
6G网络协作通感技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
6G通感算智融合原生基座技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
AI驱动增长-腾讯云营销技术白皮书,Industrial and sector applications,Primary technical subject identified from the title and verified against the corpus entry.
Atlas 300T Pro训练卡技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
Atlas 900 RCK A2计算节点技术白皮书（AICC场景）,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
BFD技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
Context技术白皮书,AI and intelligent computing,The retrieved text discusses context engineering for LLM and agent systems.
EMS弹性内存存储技术白皮书,"Cloud, data center and storage",Primary technical subject identified from the title and verified against the corpus entry.
HDM技术白皮书,"Multimedia, sensing and XR","The retrieved text focuses on 4K video acquisition, imaging, and audiovisual interfaces."
HarmonyOS安全技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
HiSec Endpoint智能终端安全系统技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
IPsec技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
IPv6技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
IP网络未来演进技术白皮书——服务感知网络（SAN）,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
MSR6技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
MagicOS安全技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
NAT技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
NetEngine AR 广域网优化技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
Serverless架构数据库技术白皮书,"Cloud, data center and storage",Primary technical subject identified from the title and verified against the corpus entry.
URL过滤技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
VXLAN技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
Wi-Fi 6（802.11ax）技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
iMaster NCE-Fabric技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
三维沉浸视频技术白皮书,"Multimedia, sensing and XR",Primary technical subject identified from the title and verified against the corpus entry.
中国移动“敏捷网络”技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
中国芯片设计云技术白皮书,"Cloud, data center and storage",Primary technical subject identified from the title and verified against the corpus entry.
云AI视频技术白皮书,"Multimedia, sensing and XR",Primary technical subject identified from the title and verified against the corpus entry.
云化5G专网技术白皮书,Mobile communications (5G/6G),Primary technical subject identified from the title and verified against the corpus entry.
井下新一代网络技术白皮书,Industrial and sector applications,Primary technical subject identified from the title and verified against the corpus entry.
传送网节能减排技术白皮书,Energy and sustainable infrastructure,Primary technical subject identified from the title and verified against the corpus entry.
伯努利融合型机柜技术白皮书,Energy and sustainable infrastructure,Primary technical subject identified from the title and verified against the corpus entry.
先进感知技术白皮书,Industrial and sector applications,Primary technical subject identified from the title and verified against the corpus entry.
全光校园网络解决方案技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
具身智能操作系统技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
分布式智算中心无损网络技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
医院通用人工智能平台技术白皮书,Industrial and sector applications,Primary technical subject identified from the title and verified against the corpus entry.
华为园区网络Wi-Fi 7(802.11be)技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
华为园区网络Wi-Fi 7零漫游技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
华为星河AI园区全域安全技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
基于智能体的校园自智网络技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
家庭Wi-Fi网络技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
宽带核心网（BNC）技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
开放解构节点（ODS）系统架构技术白皮书,"Cloud, data center and storage",The retrieved text describes open disaggregated node and infrastructure architecture.
微服务化vBRAS技术白皮书,Networking and Internet protocols,Primary technical subject identified from the title and verified against the corpus entry.
新一代智算中心网络管控运维技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
智能安全策略技术白皮书,Cybersecurity and trust,Primary technical subject identified from the title and verified against the corpus entry.
算力运维体系技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
虚拟汽车技术白皮书,Industrial and sector applications,Primary technical subject identified from the title and verified against the corpus entry.
视联网云化技术白皮书,"Multimedia, sensing and XR",Primary technical subject identified from the title and verified against the corpus entry.
负载均衡技术白皮书,"Cloud, data center and storage",Primary technical subject identified from the title and verified against the corpus entry.
超节点技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
轻质屋面光伏系统安全技术白皮书,Energy and sustainable infrastructure,Primary technical subject identified from the title and verified against the corpus entry.
酒业数智供应链发展技术白皮书,Industrial and sector applications,Primary technical subject identified from the title and verified against the corpus entry.
面向数据迁移的超算快线技术白皮书,AI and intelligent computing,Primary technical subject identified from the title and verified against the corpus entry.
